race_id,year,circuit_id,is_street_circuit,lap_number,total_laps,status_sc_active,status_vsc_active,num_cars_running,min_gap_between_any_cars,num_pairs_gap_lt_1s,num_pitstops_last_1_lap,avg_tyre_age_laps,air_temperature,humidity,pressure,rainfall,track_temperature,wind_speed,label_sc_next_lap
2023_SAKHIR_R,2023,SAKHIR,0,40,57,0,0,19,0.53,2,0,9.889,26.5,21,1017,0,29.5,0.6,0
2023_SAKHIR_R,2023,SAKHIR,0,41,57,0,1,18,0.115,3,0,6.889,26.5,21,1017,0,29.4,0,0
2023_SAKHIR_R,2023,SAKHIR,0,42,57,0,0,18,0.031,4,0,7.765,26.5,21,1017.2,0,29.4,0,0
2023_SAKHIR_R,2023,SAKHIR,0,43,57,0,0,17,0.624,2,0,8.765,26.4,21,1017,0,29.3,0.8,0
2023_SAKHIR_R,2023,SAKHIR,0,44,57,0,0,17,0.633,1,0,9.765,26.4,21,1017,0,29.2,0,0
2023_SAKHIR_R,2023,SAKHIR,0,45,57,0,0,17,0.1,2,0,10.765,26.4,21,1017,0,29.1,0.5,0
2023_SAKHIR_R,2023,SAKHIR,0,46,57,0,0,17,0.935,1,0,11.765,26.4,21,1017.2,0,29.1,0,0
2023_SAKHIR_R,2023,SAKHIR,0,47,57,0,0,17,1.175,0,0,12.765,26.4,21,1017,0,29,0.3,0
2023_SAKHIR_R,2023,SAKHIR,0,48,57,0,0,17,0.947,1,0,13.412,26.4,21,1017.2,0,29,0.3,0
2023_SAKHIR_R,2023,SAKHIR,0,49,57,0,0,17,1.189,0,0,14.412,26.3,21,1017.2,0,29,0,0
2023_SAKHIR_R,2023,SAKHIR,0,50,57,0,0,17,0.929,1,0,15.412,26.3,21,1017.2,0,29,0,0
2023_SAKHIR_R,2023,SAKHIR,0,51,57,0,0,17,0.979,1,0,16.412,26.3,21,1017.2,0,28.9,0,0
2023_SAKHIR_R,2023,SAKHIR,0,52,57,0,0,17,1.729,0,0,17.412,26.3,21,1017.2,0,28.9,0.3,0
2023_SAKHIR_R,2023,SAKHIR,0,53,57,0,0,17,0.897,1,0,18.412,26.3,21,1017.2,0,28.8,0,0
2023_SAKHIR_R,2023,SAKHIR,0,54,57,0,0,17,0.94,1,0,19.412,26.3,21,1017.2,0,28.8,0.4,0
2023_SAKHIR_R,2023,SAKHIR,0,55,57,0,0,17,1.142,0,0,18.824,26.3,21,1017.4,0,28.8,0,0
2023_SAKHIR_R,2023,SAKHIR,0,56,57,0,0,16,0.943,1,0,20.563,26.3,21,1017.4,0,28.7,0.4,0
2023_SAKHIR_R,2023,SAKHIR,0,57,57,0,0,11,0.776,1,0,23.182,26.3,21,1017.4,0,28.7,0.6,0
2023_JEDDAH_R,2023,JEDDAH,1,1,51,0,0,20,0,19,0,1,25.8,60,1011.2,0,30.1,0.8,0
2023_JEDDAH_R,2023,JEDDAH,1,2,51,0,0,20,0.259,9,0,1.95,25.9,56,1011,0,31.9,1.7,1
2023_JEDDAH_R,2023,JEDDAH,1,3,51,0,0,20,0.012,9,0,2.85,26,55,1011,0,32.2,1.1,1
2023_JEDDAH_R,2023,JEDDAH,1,4,51,0,0,20,0.013,8,0,3.85,26.1,55,1011,0,31.5,1.6,1
2023_JEDDAH_R,2023,JEDDAH,1,5,51,0,0,20,0.038,6,0,4.85,26.2,55,1011,0,31.6,1.7,1
2023_JEDDAH_R,2023,JEDDAH,1,6,51,0,0,20,0.074,8,0,5.85,26.3,55,1011,0,31.5,1.5,1
2023_JEDDAH_R,2023,JEDDAH,1,7,51,0,0,20,0.024,8,0,6.85,26.4,55,1011,0,31.6,1.3,1
2023_JEDDAH_R,2023,JEDDAH,1,8,51,0,0,20,0.039,7,0,7.85,26.4,55,1011,0,31.7,1.2,1
2023_JEDDAH_R,2023,JEDDAH,1,9,51,0,0,20,0.145,5,0,8.45,26.4,56,1011,0,31.6,1.2,1
2023_JEDDAH_R,2023,JEDDAH,1,10,51,0,0,20,0.467,3,0,9,26.4,55,1011,0,31.4,1.2,1
2023_JEDDAH_R,2023,JEDDAH,1,11,51,0,0,20,0.134,4,0,10,26.3,56,1011,0,31.3,1.1,1
2023_JEDDAH_R,2023,JEDDAH,1,12,51,0,0,20,0.172,3,0,9.9,26.3,56,1011,0,31.7,1.1,1
2023_JEDDAH_R,2023,JEDDAH,1,13,51,0,0,20,0.629,2,0,10.9,26.3,56,1011.2,0,31.4,1,1
2023_JEDDAH_R,2023,JEDDAH,1,14,51,0,0,20,0.573,2,0,11.25,26.3,56,1011,0,31.4,0.8,1
2023_JEDDAH_R,2023,JEDDAH,1,15,51,0,0,20,0.969,1,0,11.55,26.3,56,1011,0,31.3,0.8,1
2023_JEDDAH_R,2023,JEDDAH,1,16,51,0,0,20,1.025,0,0,11.8,26.2,56,1011,0,31.4,1.7,1
2023_JEDDAH_R,2023,JEDDAH,1,17,51,0,0,20,0.043,3,0,11.579,26.2,56,1011,0,31.4,1.7,1
2023_JEDDAH_R,2023,JEDDAH,1,18,51,1,0,19,0.05,2,0,9.474,26.2,57,1011,0,31.5,1.3,0
2023_JEDDAH_R,2023,JEDDAH,1,19,51,1,0,19,0.558,3,0,4.474,26.1,58,1011,0,31.2,1,0
2023_JEDDAH_R,2023,JEDDAH,1,20,51,0,0,19,0.014,18,0,4.579,26,58,1011,0,31.1,1.2,0
2023_JEDDAH_R,2023,JEDDAH,1,21,51,0,0,19,0.106,12,0,5.579,26,58,1011,0,31.1,1.5,0
2023_JEDDAH_R,2023,JEDDAH,1,22,51,0,0,19,0.013,9,0,6.579,26,57,1011,0,30.9,1.3,0
